obs	shann
010181	1261	5.46345621163216
010195O1V2	1307	5.9241394525778
010194O2V3	1059	5.86925738062061
010198O3V3	476	5.0155347238676
010162	975	5.26646044511556
010174	1007	5.39214055429264
010188	1140	6.01626317999435
010201	1475	6.17595445584642
010203-01V2	736	4.94200409769926
010178	1151	6.13711543345432
010203O2V1	1037	4.20867853654305
010169O3V3	584	5.08573223939163
010198O2V3	645	5.2132920123691
010201O2V2	559	4.57610075488472
010176	1337	5.85205062248797
010201O2V3	759	5.63163762603636
010190	1476	6.13324716025841
010185	1380	6.03649643203451
010156O2V2	74	2.07674912086415
010209O1V1	1176	5.9314483703491
010165	1286	6.10675188716731
010195O2V3	1000	5.08067097588818
010194-01V2	1109	5.59235217794355
010182	1198	6.07549299398187
010215	1009	5.1694386845239
010194-01N1	1724	5.87981968254133
010218-01V2	1197	5.95396402571907
010203	1319	5.93171258470456
010195	1398	6.07536298372865
010209O1V3	366	4.35928982505137
010169O1V3	517	5.10693432588735
010194	869	5.29195459751774
010194O3V2	688	5.28403853100812
010195O2V2	436	3.9343413192002
010223O2V3	983	5.71499150266964
010223O1V3	712	4.99913835911836
010168	815	4.80243956314472
010198O3V1	648	5.40338672451762
010223O2V2	950	5.53040356727752
010177O1V2	661	3.19678045527405
010219	1100	5.90480022134856
010209O1V2	1097	5.66331605877013
010225-02V2	1142	5.88261184066036
010192	1129	6.04379134141669
010225-V3	1193	6.09603068590998
010177	1050	4.42840726985658
010177O1V1	977	4.15128136996633
010186	1149	5.89874024646085
010197	1421	6.15520564500762
010198	1079	5.72342650438145
010236-03V1	695	5.30332499797295
010221	689	4.45757955801389
010236-03V2	601	4.84523525279885
010235O1V3	420	4.9781111368671
010193	1032	5.61574400693936
010240O2V3	1044	6.05884471988202
010220	957	5.38442726889458
010225O1V2	1002	5.8921169332346
010218-01V1	1048	5.71086855440112
010169	582	5.0328132430926
010210	1331	6.09685944474432
010200	1174	5.9806363542626
010226	993	5.09781287548837
010217	1068	4.52302785888741
010216	1189	5.86017088459549
010241O1V3	1355	6.21236971860093
010255	709	4.47478732322458
010241O1V1	1408	5.48174573785976
010199	1241	5.80003846069049
010218	993	5.2776555261652
010223	1175	5.80601470610008
010257O1V1	1102	5.12669664822358
010236-03V3	871	4.74034315224286
010257O1V3	937	4.63861390917666
010225	1181	5.85965833740802
010249	1095	6.03402791831666
010214	1286	6.02988995941566
010235O1V2	1504	5.8927660240741
010212	1146	5.68748195461593
010261O2V2	1099	5.2452319291939
010261-01V2	782	5.00138200335286
010232	1630	6.30647689013385
010233	1082	5.7996648549598
010231	1238	5.98275722981074
010236	1311	5.87986582774607
010261O2V3	653	5.15041218999926
010240O2V2	855	5.52530342545046
010228	1090	5.978560242372
010275O1V1	810	5.85306516615786
010230	1430	6.22517661665947
010225O1V3	772	5.29560244426459
010245	1503	6.07927851313332
010276O1V3	1135	5.53990940793914
010261	1186	5.28256349506242
010235	1393	5.86231559219943
010257	1108	5.7730390199542
010223O1V2	601	4.36140336761241
010261-01V3	1514	6.32072548083319
010258	1477	6.16613226137884
010275O1V2	407	4.8188417985419
010240	1302	6.03403323602193
010261-01V1	1249	5.86304203258661
010288-01V3	1093	5.88079480149467
010288-01V2	826	5.54917425071968
010290	1293	6.07293738011818
010241	1240	5.66809128764558
010246	1278	6.0666789309547
010250	1078	5.47196597562556
010293O1V2	972	5.35012876301872
010218-01V3	1369	6.18420257660268
010248	1489	6.18220659424494
010269	1718	6.59027738470307
010270	1162	6.0018765224373
010288-01V1	1017	5.4364867168555
010293O1V1	869	5.03962865188214
010283	1084	5.88025538340319
010275O1V3	551	4.94058137591652
010272	1192	5.75646404931619
010277	1462	6.17186484292657
010225-02V1	1059	5.65205825005524
010247	1119	5.6879529663815
010275	1277	5.9966203932123
010305O1V1	1069	5.71816998513453
010262	1298	6.01595220752948
010243	1316	5.68474621033928
010309O1V2	357	4.34769323026581
010280	1119	5.67528332391864
010268	1502	6.36344378707112
010276	1470	6.20183714400636
010306	1085	5.79905724429349
010304	668	5.38018932434365
010303	1509	5.92663811473206
010309O1V3	659	5.09883570736145
010237	1167	5.47626778407246
010229	1527	6.22889645131524
010310	1285	5.90009838031337
010274	1403	6.12977235443061
010298O1V3	806	5.10231918656773
010311-V1	786	5.23587548471327
010316O1V3	1179	5.69939085291101
010305	1331	6.18704427889627
010309O1V1	484	4.78405899672935
010330O1V3	778	5.8916477720378
010311-01V3	820	5.06539439910051
010309	1335	5.6444033358697
010331-01V4	564	4.34674227032842
010286	1093	5.30079257848476
010253	1466	5.97488069636957
010316	1146	5.90607518754354
010313	796	4.63620705491267
010332	957	4.21506260715854
010256	1312	5.88727190448088
010336	1084	5.75742995297497
010300	966	5.83738920889848
010301	1228	5.77963530983592
010267	774	5.21279339664774
010330O1V2	324	4.63337103020176
010281	947	5.49611017118125
010298O1V2	519	5.02103696528052
010295	1456	5.5798918289394
010311	1060	5.77904456505848
010403	1883	6.21741810930697
010311-01V2	824	5.03050048331554
010319	930	5.33603884369626
010307	1337	5.94546378019272
010411O1V3	1725	6.30180281037969
010411O1V2	1380	5.92715834204226
010339	1029	5.56985950449204
010413O1V3	494	4.67896414188327
010335O1V2	250	2.7808786509689
010331-01V2	585	5.11205084578027
010287	1177	5.65794655699771
010299	1410	6.29038927986202
