DATASET_MULTIBAR

SEPARATOR	TAB
DATASET_LABEL	host-phylum
COLOR	#ff0000

FIELD_COLORS	#8dd3c7	#a6cee3	#1f78b4	#b2df8a	#33a02c	#fb9a99	#e31a1c	#fdbf6f	#d9d9d9	#ff7f00	#cab2d6	#6a3d9a	#ffff99	#b15928	#575d63
FIELD_LABELS	Actinomycetota	Bacillota	Bacillota_A	Bacillota_B	Bacillota_C	Bacillota_I	Bacteroidota	Campylobacterota	other	Fusobacteriota	Patescibacteria	Pseudomonadota	Spirochaetota	Synergistota	multiple



DASHED_LINES	1
HEIGHT_FACTOR	2
WIDTH	75
MARGIN	25


DATA
OAPGCV017502	0	14.28571429	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV066630	0	28.45744681	7.579787234	0	27.65957447	0	0	0	0	10.10638298	0	0	0	0	0.332446809
OAPGCV016363	0	0	0	0	99.24050633	0	0	0	0	0	0	0	0	0	0
OAPGCV051575	0	0	0	0	65.64792176	0	0	0	0	0	0	0	0	0	0.122249389
OAPGCV046101	0	0	96.41255605	0	0.448430493	0	0	0	0	0	0	0	0	0	0
OAPGCV057562	0	0	33.33333333	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV025011	0	0	0	0.930232558	0	0	0	0	0	91.1627907	0	0	0	0	0.465116279
OAPGCV051918	0	0	89.61038961	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV008969	0	0	0	0	0	0	0	0	0	95.79439252	0	0	0	0	1.401869159
OAPGCV042958	0	0	0	0	54.45026178	0	0	0	0	0	0	0	0.523560209	0.523560209	0
OAPGCV047349	0	0	0	0	0	0	0	0	0	0	0	0	12.5	0	87.5
OAPGCV045271	0	0	0	0	83.33333333	0	0	0	0	0	0	0	0	0	5.555555556
OAPGCV044194	0	0	0	0	63.20754717	0	0	0	0	0	0	0	0	0	0
OAPGCV045866	0	0	0	0	89.453125	0	0	0	0	0	0	0	0	0	0
OAPGCV001954	0	0	0	0	80.73394495	4.587155963	0	0	0	0	0	0	0	0	0.786369594
OAPGCV058982	0	0	0	0	0	0	0	0	0	0	0	61.53846154	0	0	0
OAPGCV031981	0	0	0	0	78.94736842	0	0	0	0	0	0	0	0	0	0
OAPGCV044141	0	0	0	0	78.84615385	0	0	0	0	0	0	0	0	0	0
OAPGCV032590	0	0	0	0	92.98245614	0	0	0	0	0	0	0	0	0	5.263157895
OAPGCV042091	0	0	0	0	68.22916667	0	0	0	0	0	0	0	0	0	0
OAPGCV045236	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV047345	0	0	98.07692308	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV051731	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV054045	0.485436893	35.9223301	4.854368932	0	12.13592233	0	0	0	0	0	0	0	0	0	0.485436893
OAPGCV059708	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0
OAPGCV008313	0	0	1.90023753	0	56.17577197	0.118764846	0	0	0	31.82897862	0	0	0	0	3.087885986
OAPGCV000971	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0
OAPGCV056811	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0
OAPGCV031769	0	0	0	0	0	0	0	0	0	0	0	33.73493976	0	0	0
OAPGCV001328	0	0	0	0	0	0	0	0	0	0	0	7.586206897	0	0	0
OAPGCV034811	0	0	0	0	0	0	0	0	0	0	0	34.21052632	0	0	0
OAPGCV001746	0	0	0	0	0	0	90.90909091	0	0	0	0	0	0	0	0
OAPGCV028361	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0
OAPGCV056986	0	0	0	0	0	0	0	84.70588235	0	0	0	0	0	0	0
OAPGCV058530	0	35.71428571	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV031031	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV049501	0	0	87.5	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV058792	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV037168	0	0	33.33333333	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV065465	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV013656	0	14.28571429	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV065696	0	23.07692308	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV006822	0	16.66666667	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV045628	0	33.33333333	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV068298	0	33.33333333	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV058900	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0
