DATASET_MULTIBAR

SEPARATOR	TAB
DATASET_LABEL	lifestyle
COLOR	#ff0000
FIELD_COLORS	#df5173	#27537c	#ccd3d3
FIELD_LABELS	Temperate	Virulent	unclassified

DASHED_LINES	1
WIDTH	75
MARGIN	25
HEIGHT_FACTOR	2

DATA
OAPGCV010804	0	100	0
OAPGCV032494	96.07843137	1.960784314	1.960784314
OAPGCV068143	88.23529412	5.882352941	5.882352941
OAPGCV021279	85	0	15
OAPGCV025482	93.75	6.25	0
OAPGCV044435	89.0625	7.8125	3.125
OAPGCV045097	86.36363636	13.63636364	0
OAPGCV029309	1.398601399	91.60839161	6.993006993
OAPGCV015981	100	0	0
OAPGCV027205	58.82352941	11.76470588	29.41176471
OAPGCV055160	100	0	0
OAPGCV062780	95.65217391	4.347826087	0
OAPGCV049023	0	0	100
OAPGCV032093	0	100	0
OAPGCV067996	0	100	0
OAPGCV031685	0	100	0
OAPGCV024814	69.23076923	15.38461538	15.38461538
OAPGCV050205	0	100	0
OAPGCV027296	95.50561798	4.494382022	0
OAPGCV058287	0	100	0
OAPGCV061269	0	0	100
OAPGCV027861	0	62.90322581	37.09677419
OAPGCV024318	0	87.5	12.5
OAPGCV010294	0	82.75862069	17.24137931
OAPGCV002360	0	100	0
OAPGCV047920	0	100	0
OAPGCV016798	0	92	8
OAPGCV062931	80	6.666666667	13.33333333
OAPGCV049004	41.13924051	8.227848101	50.63291139
OAPGCV031671	100	0	0
OAPGCV067107	100	0	0
OAPGCV058904	0	50	50
OAPGCV018827	0	73.68421053	26.31578947
OAPGCV020526	17.82178218	80.1980198	1.98019802
OAPGCV036778	90.54054054	8.108108108	1.351351351
OAPGCV066425	84.02777778	9.722222222	6.25
OAPGCV039477	100	0	0
OAPGCV040873	94.44444444	2.777777778	2.777777778
OAPGCV062817	0	100	0
OAPGCV063061	0	91.90031153	8.099688474
OAPGCV064342	80.35714286	13.39285714	6.25
OAPGCV050598	33.33333333	66.66666667	0
OAPGCV025433	0	0	100
OAPGCV027101	5.882352941	58.82352941	35.29411765
OAPGCV008322	0	0	100
OAPGCV018841	0	100	0
OAPGCV032329	7.692307692	86.53846154	5.769230769
OAPGCV064123	83.33333333	4.761904762	11.9047619
OAPGCV060399	45.61933535	16.01208459	38.36858006
OAPGCV031773	0	0	100
OAPGCV058095	80	0	20
OAPGCV031760	85.29411765	2.941176471	11.76470588
OAPGCV067978	0	100	0
OAPGCV030880	100	0	0
OAPGCV031020	80	0	20
OAPGCV036139	100	0	0
OAPGCV058186	0	100	0
OAPGCV058477	11.53846154	42.30769231	46.15384615
OAPGCV057772	9.523809524	85.71428571	4.761904762
OAPGCV065844	33.33333333	0	66.66666667
OAPGCV062510	0	46.15384615	53.84615385
OAPGCV035327	0	33.89830508	66.10169492
