DATASET_MULTIBAR

SEPARATOR	TAB
DATASET_LABEL	Host type
COLOR	#ff0000
FIELD_COLORS	#c51b7d	#4d9221
FIELD_LABELS	Eukaryotes  Virus	Prokaryotes Virus
DASHED_LINES	1

MARGIN	25
HEIGHT_FACTOR	2
WIDTH	75

DATA
OAPGCV047223	100	0
OAPGCV047561	100	0
OAPGCV059867	0	100
OAPGCV029832	100	0
OAPGCV062539	100	0
OAPGCV068675	100	0
OAPGCV061168	100	0
OAPGCV062403	100	0
OAPGCV047244	100	0
OAPGCV037469	0	100
OAPGCV046222	0	100
OAPGCV059844	0	100
OAPGCV006927	0	100
OAPGCV028927	0	100
OAPGCV062346	0	100
OAPGCV042832	0	100
OAPGCV061063	0	100
OAPGCV033814	0	100
OAPGCV067969	0	100
OAPGCV063983	0	100
OAPGCV029729	0	100
OAPGCV062459	0	100
OAPGCV042627	0	100
OAPGCV042375	0	100
OAPGCV047505	0	100
OAPGCV063996	0	100
OAPGCV067205	0	100
OAPGCV044893	0	100
OAPGCV056606	0	100
OAPGCV048095	0	100
OAPGCV000792	0	100
OAPGCV068338	0	100
OAPGCV055929	0	100
OAPGCV058782	0	100
OAPGCV062811	0	100
OAPGCV030184	0	100
OAPGCV006037	0	100
OAPGCV044924	0	100
OAPGCV032522	0	100
OAPGCV050599	0	100
OAPGCV029672	0	100
OAPGCV046427	0	100
OAPGCV064711	0	100
OAPGCV056178	0	100
OAPGCV064258	0	100
OAPGCV007281	0	100
OAPGCV057692	0	100
OAPGCV014114	0	100
OAPGCV045066	0	100
OAPGCV058769	0	100
OAPGCV045008	0	100
OAPGCV048963	0	100
OAPGCV063994	0	100
OAPGCV067431	0	100
OAPGCV029937	0	100
OAPGCV066366	0	100
OAPGCV035332	0	100
OAPGCV031763	0	100
OAPGCV054918	0	100
OAPGCV032397	0	100
OAPGCV044046	0	100
OAPGCV060338	0	100
OAPGCV045891	0	100
