DATASET_MULTIBAR

SEPARATOR	TAB
DATASET_LABEL	host-family
COLOR	#ff0000


FIELD_COLORS	#8dd3c7	#a6cee3	#3f9fdf	#225ea8	#cb181d	#fdbf6f	#fcbba1	#e23739	#ff7f00	#d8edf9	#1f78b4	#33a02c	#edf8b1	#c7e9b4	#cab2d6	#e0d4e6	#eae4ed	#6a3d9a	#9e9ac8	#fb6a4a	#a3fff0	#deebf7	#63dd67	#ea6f71	#575d63	#d9d9d9
FIELD_LABELS	Actinomycetaceae	Aerococcaceae	Anaerovoracaceae	Atopobiaceae	Bacteroidaceae	Campylobacteraceae	Erysipelotrichaceae	Flavobacteriaceae	Fusobacteriaceae	Gemellaceae	Lachnospiraceae	Megasphaeraceae	Micrococcaceae	Mycobacteriaceae	Nanogingivalaceae	Nanosynbacteraceae	Nanosyncoccaceae	Neisseriaceae	Pasteurellaceae	Porphyromonadaceae	Propionibacteriaceae	Streptococcaceae	Veillonellaceae	Weeksellaceae	multiple	other



DASHED_LINES	1
WIDTH	75
MARGIN	25
HEIGHT_FACTOR	2


DATA
OAPGCV031652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.12244898	0	0
OAPGCV022650	0	0	0	0	60.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV047693	0	0	0	0	4.761904762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV068276	0	0	0	0	0	0	65.71428571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.857142857
OAPGCV018877	0	0	0	0	0	0	0	0	0	0	18.18181818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV005142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.259259259	0	0
OAPGCV004837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0
OAPGCV048500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51.72413793	0	0
OAPGCV003420	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV058566	0	84.50704225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV032461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
OAPGCV030549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
OAPGCV027839	0	0	0	0	0	0	0	0	0	0	0	1.369863014	0	0	0	0	0	0	0	0	0	0	82.19178082	0	0	0
OAPGCV011521	0	0	0	0	0.33557047	0	0	0	0	0	0.33557047	0	0	0	0	0	0	0	0	0	0	0	80.87248322	0	3.020134228	1.006711409
OAPGCV023746	0	0	0	67.30769231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.884615385	0	0	15.38461538	0
OAPGCV018377	0	0	52.94117647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.882352941	0	0	0	0
OAPGCV061275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.33333333
OAPGCV058065	2.5	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV062503	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV013575	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV006811	0	0	0	98.58267717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.157480315	0
OAPGCV064156	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0
OAPGCV013752	0	0	0	0	0	0	0	0	0	0	0	0	0	83.96226415	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV016201	0	0	0	0	0	0	0	0	0	0	0	0	0	97.30769231	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV058467	0	0	0	0	0	0	0	0	0	0	0	0	0	85.71428571	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV059510	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV057522	0	0	0	0	0	0	0	0	0	0	0	0	0	77.11864407	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV026892	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV003504	6.40569395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV025479	43.12573443	0	0	0.352526439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.49001175	0
OAPGCV064992	11.71171171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV024176	0	0	0	0	0	0	0	0	0	0	0	0	81.15384615	3.461538462	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV016206	99.13043478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV011376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78.49829352	0	0	0	14.67576792	0
OAPGCV017566	0	0	0	0	0	0	0	0	0	0	0	0	94.5368171	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV045460	0	0	0	0	0	0	0	0	0	0	0	0	53.71428571	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV007582	75.29976019	0	0	0	0	0	0	0	0	0	0	0	0.479616307	0	0	0	0	0	0	0	0	0	0	0	0.71942446	0
OAPGCV050213	69.41176471	0	0	4.117647059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.352941176	0
OAPGCV000006	0	0	0	0	0	0	0	0	0	0	0	0	0	3.921568627	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV020718	30.11494253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.229885057	0
OAPGCV058238	0	0	0	0	0	0	0	0	0	0	0	0	0	66.66666667	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV018929	88.88888889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV065017	54.19354839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44.19354839	0
OAPGCV033854	42.67241379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.143678161	0
OAPGCV033773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
OAPGCV055135	15.94684385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83.72093023	0
